ad_id,number_of_bathrooms,number_of_bedrooms,number_of_beds,star_rating,number_of_guests,is_superhost,number_of_reviews,cleaning_fee,host_rating,n_reviews,n_safety_features,n_amenities,n_house_rules,n_comments,n_ad_description,latitude,longitude,price,minimum_stay
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,750.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,692.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,692.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,692.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,692.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,692.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,692.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,692.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,692.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,875.0,6
573027888691871219,2.0,2,3,5.0,5,true,3,225.0,5.0,14,1,20,3,14,11,-27.145994,-48.58336,750.0,3
573027888691871219,2.0,2,3,5.0,5,true,3,225.0,5.0,14,1,20,3,14,11,-27.145994,-48.58336,750.0,3
573027888691871219,2.0,2,3,5.0,5,true,3,225.0,5.0,14,1,20,3,14,11,-27.145994,-48.58336,800.0,3
573027888691871219,2.0,2,3,5.0,5,true,3,225.0,5.0,14,1,20,3,14,11,-27.145994,-48.58336,750.0,3
573027888691871219,2.0,2,3,5.0,5,true,3,225.0,5.0,14,1,20,3,14,11,-27.145994,-48.58336,800.0,3
573027888691871219,2.0,2,3,5.0,5,true,3,225.0,5.0,14,1,20,3,14,11,-27.145994,-48.58336,750.0,3
573027888691871219,2.0,2,3,5.0,5,true,3,225.0,5.0,14,1,20,3,14,11,-27.145994,-48.58336,1050.0,3
573027888691871219,2.0,2,3,5.0,5,true,3,225.0,5.0,14,1,20,3,14,11,-27.145994,-48.58336,750.0,3
573027888691871219,2.0,2,3,5.0,5,true,3,225.0,5.0,14,1,20,3,14,11,-27.145994,-48.58336,800.0,3
573027888691871219,2.0,2,3,5.0,5,true,3,225.0,5.0,14,1,20,3,14,11,-27.145994,-48.58336,750.0,3
30493854,2.0,3,3,5.0,6,false,7,160.0,4.86,7,1,37,3,7,11,-27.13426,-48.59919,650.0,5
30493854,2.0,3,3,5.0,6,false,7,160.0,4.86,7,1,37,3,7,11,-27.13426,-48.59919,650.0,5
30493854,2.0,3,3,5.0,6,false,7,160.0,4.86,7,1,37,3,7,11,-27.13426,-48.59919,650.0,5
30493854,2.0,3,3,5.0,6,false,7,160.0,4.86,7,1,37,3,7,11,-27.13426,-48.59919,650.0,5
30493854,2.0,3,3,5.0,6,false,7,160.0,4.86,7,1,37,3,7,11,-27.13426,-48.59919,650.0,5
